Room Number,Room Name,Location,Capacity,Category,Furniture Type,Digital Projection,Projector Screen,DVD,VHS,Visualiser,Radio Mic,TV monitor,Interactive Whiteboard,Whiteboard (s),Other,Black Out Blinds,Telephone Extension,Comments,Space controlled by 
KDS,Knowledge Dock Square,Knowledge Dock,multi-use,exhibition space,None,,,,,,,,,,,,N/A,exhibition / marquee space only; individual bookings subject to separate risk assessments,Facilties 
MLT,Main Lecture Theatre,Docklands Library,400,tiered room,tiered seating,●,,●, ,●,●,,,●,Blue Ray,,x7339,,Facilties 
NB.2.05,NB.2.05,North Building,100,flat room,tables and chairs,●,,●, ,●,●,,,●,,,,,Facilties 
SD.1.03,SD.1.03,Sports Dock,44,flat room,tables and chairs,●,●,●,,●,,,,●●,Blue Ray,,x6819,Partitioned room with SD.1.04,Facilties 
SD.1.04,SD.1.04,Sports Dock,44,flat room,tables and chairs,●,●,●,,●,,,,●●,Blue Ray,,x6819,Partitioned room with SD.1.03,Facilties 
SD.1.08,SD.1.08,Sports Dock,50,flat room,tables and chairs,●,●,●,,●,●,,,●,Blue Ray,,x6815,Partitioned room with SD.1.09,Facilties 
SD.1.09,SD.1.09,Sports Dock,50,flat room,tables and chairs,●,●,●,,●,●,,,●,Blue Ray,,x6815,Partitioned room with SD.1.08,Facilties 
SD.1.12,SD.1.12,Sports Dock,56,Harvard Style Theatre,Harvard Style Theatre,●,●,●,,●,,,,●●,Blue Ray,,x6818,Tiered semi-circle classroom,Facilties 
SD.1.13,SD.1.13,Sports Dock,56,Harvard Style Theatre,Harvard Style Theatre,●,●,●,,●,,,,●●,Blue Ray,,x6812,Tiered semi-circle classroom,Facilties 
SD.1.14,SD.1.14,Sports Dock,44,Harvard Style Theatre,Harvard Style Theatre,●,●,●,,●,,,,●●,Blue Ray,,x6813,Tiered semi-circle classroom,Facilties 
SD.1.22,SD.1.22,Sports Dock,30,flat room,tables and chairs,●,●,●,,●,,,,●●,Blue Ray,,x6823,,Facilties 
SD.1.23,SD.1.23,Sports Dock,35,flat room,tables and chairs,●,●,●,,●,●,,,●●,Blue Ray,,x6814,,Facilties 
SD.1.24,SD.1.24,Sports Dock,36,flat room,tables and chairs,●,●,●,,●,,,,●●,Blue Ray,,x6811,,Facilties 
SD.2.07,SD.2.07 - Meeting Room,Sports Dock,12,meeting room,board room,,,●,,,,●,,●,,,,Small meeting room,Facilties 
SD.2.15,SD.2.15 - Meeting Room,Sports Dock,10,meeting room,specialist workstations,,,,,,, ,, ,,,,Awaiting Info,Awaiting Info
SD.2.16,SD.2.16 - Physiology Lab,Sports Dock,multi-use,flat room,specialist workstations,,,,,,,,,,,,,Limited to HSB bookings only,HSB
USG,Docklands University Square - Grassy Area,External,multi-use,exhibition space,None,,,,,,,,,,,,N/A,exhibition / marquee space only; individual bookings subject to separate risk assessments,Facilties 
USLL, Docklands University Square Lower Level,External,multi-use,exhibition space,None,,,,,,,,,,,,N/A,exhibition / marquee space only; individual bookings subject to separate risk assessments,Facilties 
USUL, Docklands University Square Upper Level,External,multi-use,exhibition space,None,,,,,,,,,,,,N/A,exhibition / marquee space only; individual bookings subject to separate risk assessments,Facilties 
WB.1.01,WB.1.01,West Building,40,flat room,specialist workstations,●,,,,,,,,,,,,Limited to ADI bookings only,ADI
WB.1.07,Ludology Lab,West Building,40,flat room,specialist workstations,,,,,,,,,●,,,N/A,Limited to ADI bookings only,ADI
WB.1.11,ADI Mac Laboratory 4,West Building,20,flat room,specialist workstations,,,,,,,,,●,,,N/A,Limited to ADI bookings only,ADI
WB.1.15,ADI PC Laboratory 2,West Building,20,flat room,specialist workstations,,,,,,,,,●,,,N/A,Limited to ADI bookings only,ADI
