,,,Lecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Seminar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Tutorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Practical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Combined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Break out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Lecture (o),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Seminar  (o),,,,,,,,,,IT,,,,,,,,,,,,,,,,,,,,,
,,,Tutorial  (o),,,,,,,,,,Specialist,,,,,,,,,,,,,,,,,,,,,
,,,Workshop  (o),Term 1,,,,,,,,,Flat,,,,,,,,,,,,,,,,,,,,,
,,,Practical  (o),Term 2,,,,,,,,,Tiered,,,,,,,,,,,,,,,,,,,,,
,,,Combined  (o),Term 1 & 2,,,,,,,,,Harvard,,,,,,,,,,,,,,,,,,,,,
Programme,Module Code,Module Name,Category,Term,Day,Start,End,Hours,Group,Group size,Staff,Module Leader,Room type,Number of students ,,,Contact hour per week,Contact time per year,Student number ,Computing,Dori,Mufy,Mufy,AS comments,Mufy,AS comments,Mufy,,AS comments 19/09/2016,Comments ,as comment,Mufy,AS comments,
"C4B, CS",CN4101,Information Systems Modelling and Design ,Practicals,1 & 2,Tuesday,14:00,16:00,02:00,3,25,Arish Siddiqui,,ITC11,,,,,,,,,Please update the Slot,"Please update the room & slot (Thur 2-4, ITC04)",ITC04 booked all dates apart from wk 11 ITC07 booked,Cancel room ITC 06 (Wed 11-1),Cancelled,,,,This slot is not appear in Celcat ,requested to ITC  room TT 28/9,"Timetable clash, please update tutorial (Tuesday 2-4) any ITC Lab",requested ITC 4 Oct,
"C4B, CS",CN4101,Information Systems Modelling and Design ,Practicals,1 & 2,Tuesday,16:00,18:00,02:00,4,25,Arish Siddiqui,,ITC08,,,,,,,Changed,,Please update the Slot,"Please update the room & slot (Thur 4-6, ITC11)",ITC01 booked for all dates,Cancel room ITC 11 (Wed 11-1),cancelled,,,,,,"Please update group, Tuesday 4-6, Any ITC room",requested ITC 4 Oct,
"C4B, CS",CN4101,Information Systems Modelling and Design ,Practicals,1 & 2,Tuesday,14:00,16:00,02:00,5,25,Solomon Alexis,,ITC01-ITC05,,,,,,,changed,,Please update the Slot,"Please update the room & slot (Thur 11-1, ITC06)",ITCO3 booked for all date ,Cancel room ITC 05 (Wed 11-1),cancelled,,,,,,,,Update tutor & Slot (Tue 2-4 any ITC 1-5)
"C4B, CS",CN4101,Information Systems Modelling and Design ,Practicals,1 & 2,Thursday,16:00,18:00,02:00,6,25,Shareeful Islam,,ITC1-ITC5,,,,,,,update tutor,,Please update the Slot,"Please update the room & slot (Thur 11-1, ITC06)",ITCO3 booked for all date ,Cancel room ITC 05 (Wed 11-1),cancelled,"Please book the following slot (Fri 11-13, any ITC 1-5)",,ITC04 booked,This slot does not appear in Celcat ,ITC04 is already booked 11-13 group 6,,,Update tutor & Slot (Thur 4-6 any ITC 1-5)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C4B, CS, CASS",CN4102,Introduction to Software Development,Lecture,1 & 2,Thursday,09:00,11:00,02:00,0,100,Aaron Kans,ML,EB.2.43,49 + new students ,,,10,10,,,,,,,,,,,,,,,,
"C4B, CS, CASS",CN4102,Introduction to Software Development,Practicals,1 & 2,Friday,11:00,13:00,02:00,1,25,Shafiq Ur Rehman,,ITC03,,,,,,,,,,,,,,,,,Rename this as group 4. Add Shafiq Ur Rehman into the slot ,updated as requested,,,
"C4B, CS, CASS",CN4102,Introduction to Software Development,Practicals,1 & 2,Thursday,11:00,13:00,02:00,2,25,Sin Wee Lee,,ITC04,,,,,,,,,,,,,,,,,Remove Syed Islam and put Sin Wee Lee into the slot ,updated as requested,,,
"C4B, CS, CASS",CN4102,Introduction to Software Development,Practicals,1 & 2,Friday,11:00,13:00,02:00,3,25,Saeed Sharif,,ITC03,,,,,,,,,Change tutorial Group ,,Updated group 3 - tutor Sin Wee,Please update room to (ITC 1 -6) for both semesters,"Request rejected from  TT if the time can be changed they can offer the following 9am-11 available in ITC03/ 1pm-3pm in ITC01,ITC02/ 10am-12pm in ITC04, ITC06.",,,,,,,,
"C4B, CS, CASS",CN4102,Introduction to Software Development,Practicals,1 & 2,Thursday,11:00,13:00,02:00,4,25,Aaron Kans,,ITC05,,,,,,,,,,"Please update room (Thur 11-1, ITC05)",ITC05 booked for all dates,,,,,,Rename this as group 1,updated as requested,,,
"C4B, CS, CASS",CN4102,Introduction to Software Development,Practicals,1 & 2,Friday,09:00,11:00,02:00,5,25,Shafiq Ur Rehman,,ITC1-ITC5,,,,,,,changed,,,,,,,"Please book the following slot (Wed 11-1, any ITC 1-5)",,ITC05 booked,Add Shafiq Ur Rehman into the slot and rename to group 5 ,updated as requested,,,"Update slot (Fri 9-11, any ITC 1-5)"
"C4B, CS, CASS",CN4102,Introduction to Software Development,Practicals,1 & 2,Thursday,11:00,13:00,02:00,6,25,Shafiq Ur Rehman ,,ITC03,,,,,,,,,,"Please update room (Thur 11-1, ITC03)",ITC01 term 1 & ITC03 Term 2 ,Please update room to (ITC 1 -6) for for semesters 2,ITC03 booked term 2,"Please book the following slot Thu 11-1, ITC 03)",,ITC01 booked 11-13 Gr 6,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C4B, CS, CASS",CN4104,Introduction to Computer Systems and Network,Lecture,1 & 2,Thursday,14:00,16:00,02:00,0,100,Usman Naeem/Syed Islam,ML,WB.G.02,49 + new students ,,,10,10,,,,,,,,,,,,,,"Cancel group 5, Fri: 11-13 (ITC 05), Famihea Jafari, please reassign any students to the other tutorials ","Requested cancellation , you need to let Student Records know about groups allocations ",
"C4B, CS, CASS",CN4104,Introduction to Computer Systems and Network,Practicals,1 & 2,Thursday,16:00,18:00,02:00,1,25,Solomon Alexis,,KD.2.14,,,,,,,(Tue 4-6 on the CELCAT),,,"Please update the slot (tue 1-3, KD.2.14)",Updated,,,,,,Move this to Thursday between 1600 - 1800 / remove Usman Naeem and put Kinzonji Tavares into the slot ,updated and moved as requested,"Cancel group 3, Fri: 11-13 (ITC 02), please reassign any students to the other tutorials ",…..Ditto………..,
"C4B, CS, CASS",CN4104,Introduction to Computer Systems and Network,Practicals,1 & 2,Tuesday,13:00,15:00,02:00,2,25,Usman Naeem,,KD.2.15,,,,,,,K Tavares? (Tues 9 -11 CELCAT),,,"Please update the slot (tue 1-3, KD.2.14)",Updated now clashes with group 1 in KD2.14,Please update the room (KD.2.15),updated,,,,Remove Kinzonji Tavares and put Usman Naeem into the slot ,updated as requested,,,
"C4B, CS, CASS",CN4104,Introduction to Computer Systems and Network,Practicals,1 & 2,Friday,09:00,11:00,02:00,3,25,Mike Kretsis,,KD.2.14,,,,,,,(Thursday 4-6),Timetable shows on Thu 16-18 Kd.2.14 and clash with CN5120,,"Please update the slot (fri 9-11, KD.2.14)",Updated,,,,,,,,,,
"C4B, CS, CASS",CN4104,Introduction to Computer Systems and Network,Practicals,1 & 2,Friday,09:00,11:00,02:00,4,25,Usman Naeem,,KD.2.15,,,,,,,,,,"Please update the slot (fri 9-11, KD.2.15)",Updated,,,,,,,,,,
"C4B, CS, CASS",CN4104,Introduction to Computer Systems and Network,Practicals,1 & 2,Monday,11:00,13:00,02:00,5,25,Fahimeh Jafari,,KD.2.14,,,,,,,,,,,,,,"Please book the following slot (Fri 11-1, any ITC 1- ITC 5)",,"ITC05 for all Term 1 and 2, except for weeks 18-20 in ITC07.","Move this to Monday 1100- 1300 at KD.2.14, add Fahimeh Jafari into the slot ",Moved as requested &  ITC04 cancelled Friday 11-13  FJ not on CELCAT yet,,,
"C4B, CS, CASS",CN4104,Introduction to Computer Systems and Network,Practicals,1 & 2,Monday,11:00,13:00,02:00,6,25,Mike Kretsis,,KD.2.15,,,,,,,,,,,,,,,,,Move this to Monday 1100- 1300 at KD.2.15,Group 6 booked in KD2.15 Monday 11-13,,,
